english,polish,polish_alternatives
aaa,amerykański,amerykański związek automobilowy
aardvark,mrównik,
abacus,liczydło,
abandon,zostawiać,
abandonment,opuszczenie,zaprzestanie
abashed,zakłopotany,
abate,zelżeć,
abattoir,rzeźnia,
abbreviate,skracać,
abbreviated,skrócony,
abbreviation,skrót,
abdicate,wyrzekać,
abdication,odrzucenie,
abdominal,brzuszny,
abduct,uprowadzać,
abduction,uprowadzenie,
aberration,zboczenie,
abhor,cierpieć,
abhorrence,nienawiść,
abhorrent,znienawidzony,
abiding,długotrwały,
ability,zdolność,
ably,znakomicie,
abnormal,nienormalny,
abnormality,nieprawidłowość,
abode,zamieszkania,
abolish,obalić,
abolition,obalenie,
abort,przerwanie,
abortive,nieskuteczny,
abound,być,obfitować
about,zamierzać,
abrasion,otarcie,
abrasive,ścierny,
abreast,być,
abridged,skrócony,
abroad,granicą,za granicę
abrupt,raptowny,
abscess,ropień,
absence,nieobecność,
absent,nieobecny,nieuważny
absentee,ktoś,
absently,nieuważnie,
absolution,rozgrzeszenie,
absolve,rozgrzeszać,oczyszczać
absorbent,wchłaniający,
absorption,zainteresowanie,wchłanianie
abstain,wstrzymywać,
abstemious,wstrzemięźliwy,
abstention,wstrzymanie,wstrzymanie się od głosu
abstracted,wyobcowany,
abstraction,wyobcowanie,
absurd,absurdalny,
abundance,obfitość,
abundantly,obficie,
abusive,obraźliwy,
abysmal,nędzny,
abyss,otchłań,przepaść
ac,prąd,
academy,akademia,
accede,przychylać,
accelerate,przyspieszać,
acceleration,przyspieszenie,
accentuate,kłaść,
accept,przyjmować,
acceptable,uznawalny,"akceptowalny
 2.  do przyjęcia"
accessory,akcesoria,
accident,przypadek,wypadek
accidental,przypadkowy,
acclaim,wychwalać,
accolade,uznanie,
accommodate,zakwaterować,
accommodating,uczynny,
accompaniment,dodatek,
accompany,towarzyszyć,akompaniować
accomplish,dokonać,
according to,według,
accordingly,wedle zasługi,
accost,zaczepić,
account,sprawozdanie,
accountability,odpowiedzialność,
accountable,odpowiedzialny,
accountancy,księgowość,
accountant,księgowy,
accredited,akredytowany,uznawany
accumulate,gromadzić,
accumulation,nagromadzenie,
accuracy,dokładność,staranność|skrupulatność
accusation,oskarżenie,
accused,oskarżony,
accusing,oskarżycielski,
accustom,przyzwyczajać,
accustomed,zwykły,
achieve,osiągać,
achievement,osiągnięcie,"wyczyn
 2.  spełnienie"
acidic,kwasowy,
