english,polish,polish_alternatives
abstract,abstrakcja,
acceleration,przyspieszenie,
accident,wypadek,
account,konto,
accountant,księgowy,
acquittal,uniewinnienie,
actor,aktor,
acute,ostry,
adult,dorosły,
adventure,przygoda,
advertisement,reklama,
agenda,porządek obrad,
agree,zgadzać się,
agreement,porozumienie,
air conditioner,klimatyzacja,
air force,siły powietrzne,
airplane,samolot,
airport,lotnisko,
alarm,budzik,
alcohol,alkohol,
alert,alarm,
alibi,alibi,
alive,żywy,
allergy,alergia,
alliance,sojusz,
allow,pozwalać,
altar,ołtarz,
ambassador,ambasador,
amber,bursztynowy,
ambulance,ambulans,
amendment,poprawka,
ancestor,przodek,
ancient,starożytny,
and,i,
anesthesia,znieczulenie,
angel,anioł,
angry,zły,
animal,zwierzę,
ankle,kostka,
anklet,bransoletka na nogę,
answer,odpowiadać,
ant,mrówka,
antenna,antena,
antibiotic,antybiotyk,
anxious,niespokojny,
appeal,apelacja,
appetizer,przystawka,
applause,aplauz,
apple,jabłko,
appliance,urządzenie,
application,podanie,
appointment,spotkanie,
apron,fartuch,
architect,architekt,
arm,ramię,
armadillo,pancernik,
army,armia,
arrival,przylot,
arrive,przyjeżdżać,
arrow,strzałka,
artery,tętnica,
article,artykuł,
artillery,artyleria,
artist,artysta,
ashamed,zawstydzony,
ask,pytać,
assault,napaść,
assistant,asystent,
asthma,astma,
astronaut,astronauta,
atmosphere,atmosfera,
atom,atom,
attic,strych,
attorney,adwokat,
auction,aukcja,
aunt,ciocia,
autumn,jesień,
available,dostępny,
avalanche,lawina,
avocado,awokado,
baa,bee,
baboon,pawian,
baby,dziecko,
bachelor,licencjat,
back,plecy,
backpack,plecak,
backstage,za kulisami,
backup,kopia zapasowa,
bacon,bekon,
bad,zły,
bakery,piekarnia,
balcony,balkon,
ball,piłka,
balloon,balon,
banana,banan,
bandaid,plaster,
bank,bank,
bank account,konto bankowe,
baptism,chrzest,
barracks,koszary,
basement,piwnica,
bat,nietoperz,
bathrobe,szlafrok,
bathroom,łazienka,
bathtub,wanna,
battery,bateria,
beach,plaża,
bean,fasola,
bear,niedźwiedź,
beautiful,piękny,
beaver,bóbr,
because,bo,
bed,łóżko,
bee,pszczoła,
beer,piwo,
beetle,chrząszcz,
beige,beżowy,
belly,brzuszek,
belly button,pępek,
belt,pasek,
benefits,świadczenia,
benign,łagodny,
beta,beta,
beverage,napój,
bib,śliniak,
bibliography,bibliografia,
bicycle,rower,
big,duży,
binder,segregator,
biopsy,biopsja,
bird,ptak,
birthday,urodziny,
bite,gryźć,
black,czarny,
blackboard,tablica,
blanket,koc,
blazer,marynarka,
bleach,wybielacz,
blizzard,zamieć,
block,klocki,
blue,niebieski,
blueberry,borówka,
board game,gra planszowa,
boarding pass,karta pokładowa,
boat,łódź,
bolt,śruba z nakrętką,
bomb,bomba,
bone,kość,
book,książka,
boot,but,
bored,znudzony,
bottle,butelka,
bottom,pupa,
bow tie,muszka,
bowl,miska,
boy,chłopiec,
bracelet,bransoletka,
brain,mózg,
branch,gałąź,
brave,odważny,
bread,chleb,
break,przerwa,łamać
breakfast,śniadanie,
bride,panna młoda,
bridge,most,
bring,przynosić,
broccoli,brokuł,
broken,zepsuty,
brooch,broszka,
broom,miotła,
brother,brat,
brown,brązowy,
browser,przeglądarka,
brush,szczotka,
bubble,bańka,
bucket,wiadro,
budget,budżet,
bug,błąd,
build,budować,
bulldozer,spychacz,
bunker,bunkier,
burglary,włamanie,
bus,autobus,
bush,krzak,
business,biznes,
busy,zajęty,
but,ale,
butcher,rzeźnik,
butter,masło,
butterfly,motyl,
button,guzik,
buy,kupować,
buzz,bzzz,
cabinet,szafka,
cable,kabel,
cake,ciasto,
calendar,kalendarz,
calf,łydka,
call,dzwonić,
calm,spokojny,
camera,aparat,
