uni_lemma,norwegian_word,norwegian_category,norwegian_gloss,english_word,english_category
airplane,fly,vehicles,plane,aeroplane / plane,vehicles
all,alle,quantifiers,all of them,all,prepositions
all gone,borte,descriptive_words,away,all gone,descriptive_words
animal,dyr,animals,animals,animal,animals
another,en annen,quantifiers,another one,another,prepositions
apple,eple,food_drink,apple,apple,food_drink
arm,arm,body_parts,arm,arm,body_parts
aunt,tante,people,Aunt,aunt,people
away,bort,locations,away,away,prepositions
away,borte,locations,away,away,prepositions
away,vekk,locations,away,away,prepositions
baa baa,bææ,sounds,bææ,baa baa,sounds
baby,baby,people,baby,baby,people
bad,dårlig,descriptive_words,bad,bad,descriptive_words
bad,frekk,descriptive_words,rude,bad,descriptive_words
ball,ball,toys,prom,ball,toys
balloon,ballong,toys,balloon,balloon,toys
banana,banan,food_drink,banana,banana,food_drink
bath,bade,games_routines,bathing,bath,games_routines
bathroom,bad,furniture_rooms,bathroom,bathroom,furniture_rooms
bathtub,badekar,furniture_rooms,bathtub,bath / bathtub,clothing
beach,strand,places,beach,beach,outside
bear,bjørn,animals,Bears,bear,animals
bed,seng,furniture_rooms,bed,bed,furniture_rooms
bedroom,soverom,furniture_rooms,bedroom,bedroom,furniture_rooms
belly button,navle,body_parts,belly button,belly button / tummy button,body_parts
bib,smekke,clothing,bib,bib,clothing
bicycle,sykkel,vehicles,bicycle,bicycle / bike,vehicles
big,stor,descriptive_words,large,big,descriptive_words
bird,fugl,animals,bird,bird,animals
bite,bite,action_words,bite,bite,action_words
blanket,dyne,household,duvet,blanket,household
blanket,teppe,household,blanket,blanket,household
blocks,klosser,toys,bricks,block / brick,toys
blocks,lego,toys,Lego,block / brick,toys
blow,blåse,action_words,blow,blow,action_words
blue,blå,descriptive_words,blue,blue,descriptive_words
boat,båt,vehicles,boat,boat,vehicles
book,bok,toys,book,book,toys
bottle,flaske,household,bottle,bottle,household
bowl,skål,household,Cheers,bowl,household
box,boks,household,box,box,household
box,eske,household,box,box,household
box,kasse,household,Checkout,box,household
boy,gutt,people,boy,boy,people
bread,brød,food_drink,loaf of bread,bread,food_drink
break,ødelegge,action_words,tear up,break,action_words
breakfast,frokost,games_routines,breakfast,breakfast,games_routines
broken,ødelagt,descriptive_words,destroyed,broken,descriptive_words
broom,kost,household,costly,broom,household
brother,bror,people,brother,brother,people
brush (object),børste,household,brush,brush,household
bubbles,såpebobler,toys,soap bubbles,bubble,toys
bucket,bøtte,household,bucket,bucket,outside
bunny,kanin,animals,rabbit,bunny / rabbit,animals
bus,buss,vehicles,coach,bus,vehicles
butter,smør,food_drink,butter,butter,food_drink
butterfly,sommerfugl,animals,butterfly,butterfly,animals
button,knapper,clothing,Buttons,button,clothing
bye,ha det,games_routines,bye bye,bye bye,games_routines
cake,kake,food_drink,cake,cake,food_drink
call,ringe,games_routines,call,call,action_words
car,bil,vehicles,car,car,vehicles
careful,forsiktig,descriptive_words,careful,careful,descriptive_words
carrot,gulrot,food_drink,carrot,carrot,food_drink
carry,bære,action_words,carry,carry,action_words
cat,katt,animals,cat,cat,animals
catch,fange,action_words,catch,catch,action_words
cereal,frokostblanding,food_drink,cereal,cereal,food_drink
chair,stol,furniture_rooms,chair,chair,furniture_rooms
cheek,kinn,body_parts,cheek,cheek,body_parts
cheese,ost,food_drink,cheese,cheese,food_drink
chicken (animal),kylling (animal),animals,chicken,chicken,animals
chicken (food),kylling (food),food_drink,chicken,chicken,food_drink
child,barn,people,children,child,people
choo choo,tøff-tøff,sounds,tough-tough,choo choo,sounds
church,kirke,places,church,church,outside
clean (action),rydde,action_words,clear,clean,action_words
clean (description),ren,descriptive_words,clean,clean,descriptive_words
clock,klokke,household,clock,clock,household
close,lukke,action_words,close,shut / close,action_words
coat,regntøy,clothing,rainwear,coat,clothing
cockadoodledoo,kykeliky,sounds,kykeliky,cockadoodledoo,sounds
coffee,kaffe,food_drink,coffee,coffee,food_drink
cold,kald,descriptive_words,cold,cold,descriptive_words
comb (object),kam,household,comb,comb,household
couch,sofa,furniture_rooms,sofa,settee / sofa,furniture_rooms
cow,ku,animals,cow,cow,animals
cry,gråte,action_words,cry,cry,action_words
cup,kopp,household,cup,cup,household
cup,kopp,household,cup,mug,household
cut,skjære,action_words,Magpie,cut,action_words
daddy,pappa/far,people,dad / father,daddy,people
dance,danse,action_words,dance,dance,action_words
dark,mørkt,descriptive_words,dark,dark,descriptive_words
day,dag,time_words,day,day,time_words
deer,reinsdyr,animals,reindeer,deer,animals
diaper,bleie,clothing,Diaper,nappy,clothing
dinner,middag,games_routines,dinner,dinner,games_routines
dirty,skitten,descriptive_words,filthy,dirty,descriptive_words
doctor,doktor,people,Doctor,doctor,people
dog,hund,animals,dog,dog,animals
doll,dukke,toys,baby doll,doll,toys
don't,ikke (routine),games_routines,do not,don't,games_routines
donkey,esel,animals,ass,donkey,animals
door,dør,furniture_rooms,dies,door,furniture_rooms
down,ned,locations,down,down,prepositions
down,nede,locations,down,down,prepositions
down,nedi,locations,down,down,prepositions
draw,tegne,action_words,draw,draw,action_words
drawer,skuff,furniture_rooms,Tray,drawer,furniture_rooms
dress (object),kjole,clothing,dress,dress,clothing
drink (action),drikke (action),action_words,drink,drink,action_words
drink (beverage),drikke (beverage),food_drink,drink,drink,food_drink
drive,kjøre,action_words,driving,drive,action_words
dry (description),tørr,descriptive_words,dry,dry,descriptive_words
duck,and,animals,duck,duck,animals
ear,øre,body_parts,ear,ear,body_parts
eat,spise,action_words,eat,eat,action_words
egg,egg,food_drink,eggs,egg,food_drink
elephant,elefant,animals,elephant,elephant,animals
empty,tom,descriptive_words,empty,empty,descriptive_words
eye,øye,body_parts,eye,eye,body_parts
face,ansikt,body_parts,face,face,body_parts
fall,falle,action_words,fall,fall,action_words
fast,fort,descriptive_words,fast,fast,descriptive_words
feed,mate,action_words,feed,feed,action_words
find,finne,action_words,find,find,action_words
fine,fin,descriptive_words,nice,fine,descriptive_words
finger,finger,body_parts,finger,finger,body_parts
finish,gjøre seg ferdig,action_words,should finish,finish,action_words
firetruck,brannbil,vehicles,fire truck,fire engine,vehicles
fish (animal),fisk (animal),animals,fish,fish,animals
fish (food),fisk (food),food_drink,fish,fish,food_drink
flower,blomst,outside,flower,flower,outside
food,mat,food_drink,food,food,food_drink
foot,fot,body_parts,foot,foot,body_parts
fork,gaffel,household,fork,fork,household
french fries,pommes frites,food_drink,french fries,chips,food_drink
friend,venn,people,friend,friend,people
friend,venninne,people,Girlfriend,friend,people
frog,frosk,animals,frog,frog,animals
garage,garasje,furniture_rooms,garage,garage,furniture_rooms
garden,hage,places,garden,garden,outside
get,få,action_words,get,get,action_words
get,få,helping_verbs,get,get,action_words
get,hente,action_words,fetch,get,action_words
giraffe,sjiraff,animals,giraffe,giraffe,animals
girl,jente,people,girl,girl,people
give,gi,action_words,give,give,action_words
glass,glass,household,glass,glass,household
glasses,briller,household,glasses,glasses / specs,clothing
go,dra,action_words,drag,go,action_words
good,bra,descriptive_words,good,good,descriptive_words
good,god,descriptive_words,good,good,descriptive_words
good night,god natt,games_routines,good night,night night,games_routines
goose,gås,animals,goose,goose,animals
grandma,bestemor,people,grandmother,grandma,people
grandma,farmor,people,grandmother,grandma,people
grandma,mormor,people,Granny,grandma,people
grandpa,bestefar,people,grandfather,grandpa,people
grandpa,farfar,people,grandfather,grandpa,people
grandpa,morfar,people,grandfather,grandpa,people
green,grønn,descriptive_words,green,green,descriptive_words
grrr,grr,sounds,grrr,grr,sounds
hair,hår,body_parts,hair,hair,body_parts
hammer,hammer,household,hammer,hammer,household
hand,hånd,body_parts,hand,hand,body_parts
happy,glad,descriptive_words,happy,happy,descriptive_words
